"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-RE-PU-GADMEP-2025-04-36452","RE-PU-GADMEP-2025-04-36452-2025-06-11T15:50:18.286Z-compiled","2266725-RE-PU-GADMEP-2025-04","8084582-RE-PU-GADMEP-2025-04","","","terminated","2025-05-28T00:00:00-05:00","2026-01-10T00:00:00-05:00","","227","8400.64","USD","2025-05-28T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EUSEP-2025-001-923136","RE-PU-EUSEP-2025-001-923136-2025-06-13T16:12:01.676Z-compiled","2267073-RE-PU-EUSEP-2025-001","8057915-RE-PU-EUSEP-2025-001","","","terminated","2025-06-05T00:00:00-05:00","2025-09-13T00:00:00-05:00","","100","7751.00","USD","2025-06-05T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EEASA-2025-002-3233","RE-PU-EEASA-2025-002-3233-2025-06-18T17:00:07.110Z-compiled","2267949-RE-PU-EEASA-2025-002","8089961-RE-PU-EEASA-2025-002","","","terminated","2025-06-18T00:00:00-05:00","2027-06-18T00:00:00-05:00","","730","39118.26","USD","2025-06-13T00:00:00-05:00"
"ocds-5wno2w-RE-PU-MDMQ-2025-4703-41357","RE-PU-MDMQ-2025-4703-41357-2025-06-26T16:27:27.760Z-compiled","2269158-RE-PU-MDMQ-2025-4703","8094068-RE-PU-MDMQ-2025-4703","","","terminated","2025-06-18T00:00:00-05:00","2025-12-15T00:00:00-05:00","","180","8923.27","USD","2025-06-17T00:00:00-05:00"
"ocds-5wno2w-RE-PU-MTOP-LLD-2025-00002-2533","RE-PU-MTOP-LLD-2025-00002-2533-2025-08-19T17:46:15.615Z-compiled","2265691-RE-PU-MTOP-LLD-2025-00002","8092812-RE-PU-MTOP-LLD-2025-00002","","","terminated","2025-06-04T00:00:00-05:00","2025-06-19T00:00:00-05:00","","15","41775.09","USD","2025-05-29T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HTMC-2025-004-2810","RE-PU-HTMC-2025-004-2810-2025-08-12T22:30:10.855Z-compiled","2274917-RE-PU-HTMC-2025-004","8108784-RE-PU-HTMC-2025-004","","","terminated","2025-06-27T00:00:00-05:00","2025-09-25T00:00:00-05:00","","90","384987.18","USD","2025-06-13T00:00:00-05:00"
"ocds-5wno2w-RE-PU-BS19-NAPO-2025-00001-85899","RE-PU-BS19-NAPO-2025-00001-85899-2025-05-30T15:32:34.260Z-compiled","2264856-RE-PU-BS19-NAPO-2025-00001","8107757-RE-PU-BS19-NAPO-2025-00001","","","terminated","2025-05-28T00:00:00-05:00","2025-10-25T00:00:00-05:00","","150","160871.04","USD","2025-05-28T00:00:00-05:00"
"ocds-5wno2w-RE-PU-7BI-2025-004-93521","RE-PU-7BI-2025-004-93521-2025-06-06T15:46:39.153Z-compiled","2266048-RE-PU-7BI-2025-004","8086089-RE-PU-7BI-2025-004","","","terminated","2025-06-04T00:00:00-05:00","2025-12-01T00:00:00-05:00","","180","6056.09","USD","2025-06-04T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HAGP-2025-001-17993","RE-PU-HAGP-2025-001-17993-2025-10-16T20:03:07.729Z-compiled","2283193-RE-PU-HAGP-2025-001","8101031-RE-PU-HAGP-2025-001","","","terminated","2025-05-29T00:00:00-05:00","2025-06-13T00:00:00-05:00","","15","304796.16","USD","2025-05-29T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HG-IB-2025-002-3260","RE-PU-HG-IB-2025-002-3260-2025-07-05T17:46:12.459Z-compiled","2270649-RE-PU-HG-IB-2025-002","8112342-RE-PU-HG-IB-2025-002","","","terminated","2025-07-02T00:00:00-05:00","2026-07-02T00:00:00-05:00","","365","51015.38","USD","2025-07-02T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HG-IB-2025-002-3260","RE-PU-HG-IB-2025-002-3260-2025-07-05T17:46:12.459Z-compiled","2270663-RE-PU-HG-IB-2025-002","8112218-RE-PU-HG-IB-2025-002","","","terminated","2025-07-02T00:00:00-05:00","2026-07-02T00:00:00-05:00","","365","24264.08","USD","2025-07-02T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EMAPA-I-2025-004-316213","RE-PU-EMAPA-I-2025-004-316213-2025-09-24T18:52:23.117Z-compiled","2280811-RE-PU-EMAPA-I-2025-004","8065218-RE-PU-EMAPA-I-2025-004","","","terminated","2025-06-23T00:00:00-05:00","2025-12-20T00:00:00-05:00","","180","10000.00","USD","2025-06-23T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HGMYM-2025-006-82169","RE-PU-HGMYM-2025-006-82169-2025-06-27T16:25:33.627Z-compiled","2269442-RE-PU-HGMYM-2025-006","8103217-RE-PU-HGMYM-2025-006","","","terminated","2025-06-17T00:00:00-05:00","2025-07-17T00:00:00-05:00","","30","19375.86","USD","2025-06-17T00:00:00-05:00"
"ocds-5wno2w-RE-PU-GADMC-P-2025-001-94782","RE-PU-GADMC-P-2025-001-94782-2025-06-07T15:46:50.266Z-compiled","2266271-RE-PU-GADMC-P-2025-001","8073240-RE-PU-GADMC-P-2025-001","","","terminated","2025-06-04T00:00:00-05:00","2026-06-04T00:00:00-05:00","","365","50890.72","USD","2025-06-04T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EPP-2025-002-253178","RE-PU-EPP-2025-002-253178-2025-06-26T16:27:29.791Z-compiled","2269229-RE-PU-EPP-2025-002","8109338-RE-PU-EPP-2025-002","","","terminated","2025-06-20T00:00:00-05:00","2026-06-20T00:00:00-05:00","","365","8500.00","USD","2025-06-20T00:00:00-05:00"
